Date,Tweet ID,Text,Likes,cleaned_text
2021-01-12 21:22:23+00:00,1349104461302652935,"We are happy and excited to announce that we have closed our investment round together with CVX Ventures and a group of private investors.

#investment #funding #blockchain #realestate #tokenization https://t.co/TmljijnRfv",5,we are happy excited announce that we have closed our investment round together with cvx ventures group private investors
2021-01-12 21:22:20+00:00,1349104450313588737,"@StockDweebs Hello Eric @StockDweebs, $CVX from previous watchlist looking good for an entry now? 

Looks good to me .. just confirming

This is what I see

https://t.co/yErqgxCeOx",2,hello eric cvx previous watchlist looking good entry now looks good me just confirming this is what i see
2021-01-12 21:19:36+00:00,1349103759943585794,"@HFI_Research Mm indeed. $OXY vs $CVX. 

I kinda missed the day honestly. Do you think Pompeo’s Iran comments did anything, or was it all the EIA report?",0,mm indeed oxy vs cvx i kinda missed day honestly do you think pompeo s iran comments did anything or was it all eia report
2021-01-12 21:02:09+00:00,1349099369044332546,"This year's list of Dow dogs includes Chevron (CVX), IBM (IBM), Dow (DOW), Verizon (VZ) and Walgreens (WBA). Several of these actions are off to a good start in 2021.
https://t.co/kqQk0351bO",1,this years list dow dogs includes chevron cvx ibm ibm dow dow verizon vz walgreens wba several these actions are off good start 2021
2021-01-12 20:55:24+00:00,1349097672221863942,"$CVX up 11% in the last week and is currently retesting for a 3rd time its trend line resistance. If price does push through, I do believe we will see a strong breakout. Plenty of room to run on the Weekly RSI. #StocksToBuy #stocks #StocksToWatch https://t.co/U03Rq8zUef",0,cvx up 11 last week is currently retesting 3rd time its trend line resistance if price does push through i do believe we will see strong breakout plenty room run weekly rsi
2021-01-12 20:14:02+00:00,1349087261179207681,"Notable Analyst Upgrades and Downgrades for Week of January 4, 2020 (Part 2) $ACN, $AFL, $ALB, $AVA, $CVS, $CVX, $DHI, $FDX, $HSY, $JPM, $KR, $MCD, $MMM, $MMP, $UNM, $USB, $VTR, $WFC, $WU https://t.co/f40BDr2ZOJ https://t.co/kAr6ZvDzVK",0,notable analyst upgrades downgrades week january 4 2020 part 2 acn afl alb ava cvs cvx dhi fdx hsy jpm kr mcd mmm mmp unm usb vtr wfc wu
2021-01-12 20:03:25+00:00,1349084588556083200,@MarkTepperSWP Nice job on @cnbc.  Like the energy trade.  $FANG is smart...what about a trade in $SLB and $XOM?  Buy calls! Maybe $CVX buys $XOM Consolidation! #OptionsTrading #stocks #energy #TAKEOVER,1,nice job like energy trade fang is smart what about trade slb xom buy calls maybe cvx buys xom consolidation
2021-01-12 20:02:12+00:00,1349084282761965570,Here's a contrarian trade that might payoff big... Sell your alt energy winners... $TSLA $PLUG $FCEL etc... and buy fossil fuel names $SLB $EOG $CVX etc,0,heres contrarian trade that might payoff big sell your alt energy winners tsla plug fcel etc buy fossil fuel names slb eog cvx etc
2021-01-12 19:15:58+00:00,1349072647389409288,"Will last year's pain be this year's gain for the Energy Sector? Up almost 15% so far in January, the $XLE has big names like Exxon Mobil and Chevron rebounding. But can it last? Goldman Sachs' Brian Singer on why he's more bullish than most on the sector. $XOM $CVX https://t.co/ZTcqcyyu6K",11,will last years pain be this years gain energy sector up almost 15 so far january xle has big names like exxon mobil chevron rebounding but can it last goldman sachs brian singer why hes more bullish than most sector xom cvx
2021-01-13 22:31:02+00:00,1349484126433386497,"Notable #Analyst Upgrades and Downgrades for Week of January 4, 2020 (Part 2) $ACN, $AFL, $ALB, $AVA, $CVS, $CVX, $DHI, $FDX, $HSY, $JPM, $KR, $MCD, $MMM, $MMP, $UNM, $USB, $VTR, $WFC, $WU https://t.co/f40BDr2ZOJ https://t.co/eZLQKLD9BE",0,notable upgrades downgrades week january 4 2020 part 2 acn afl alb ava cvs cvx dhi fdx hsy jpm kr mcd mmm mmp unm usb vtr wfc wu
2021-01-13 21:29:44+00:00,1349468697862299650,Largest $Notional Sell On Close Order Imbalances $V $LLY $BRK.B $DD $ABBV $CVX $DHR $NEE $JPM $XOM https://t.co/V7Aciy2vFa,0,largest notional sell close order imbalances v lly brk b dd abbv cvx dhr nee jpm xom
