Date,Open,High,Low,Close,Adj Close,Volume
2021-08-17,100.199997,101.680000,99.629997,100.730003,95.571777,10937500
2021-08-18,98.690002,99.419998,96.550003,96.699997,92.985115,12893600
2021-08-19,94.809998,95.309998,92.860001,94.290001,90.667702,17423400
2021-08-20,93.519997,94.879997,93.209999,94.300003,90.677315,9707600
2021-08-23,96.089996,97.000000,96.059998,96.730003,93.013969,10277800
2021-08-24,97.500000,98.610001,97.389999,97.839996,94.081322,8924900
2021-08-25,97.220001,98.720001,96.720001,98.510002,94.725586,9342300
2021-08-26,98.110001,98.730003,97.199997,97.220001,93.485138,8124800
2021-08-27,98.139999,99.459999,98.050003,98.639999,94.850578,10281200
2021-08-30,99.089996,99.309998,97.970001,98.389999,94.610184,8127200
2021-08-31,98.139999,98.410004,96.639999,96.769997,93.052422,15676900
2021-09-01,96.860001,97.070000,95.470001,95.709999,92.033150,10557300
2021-09-02,96.639999,98.389999,96.550003,97.709999,93.956314,12340100
2021-09-03,97.400002,98.430000,97.379997,97.489998,93.744766,9097000
2021-09-07,97.019997,97.980003,96.739998,97.059998,93.331284,9237800
2021-09-08,97.500000,98.470001,96.349998,96.389999,92.687027,10775900
2021-09-09,95.889999,97.620003,95.349998,96.000000,92.312012,10219400
2021-09-10,97.599998,97.699997,95.889999,96.070000,92.379318,11006000
2021-09-13,97.209999,98.709999,97.059998,97.970001,94.206322,11500900
2021-09-14,98.379997,98.739998,95.980003,96.199997,92.504318,15294100
2021-09-15,96.989998,98.529999,96.989998,98.239998,94.465958,11623400
2021-09-16,98.320000,98.589996,96.910004,97.320000,93.581299,10616700
2021-09-17,97.110001,98.379997,96.370003,96.760002,93.042809,16006100
2021-09-20,94.639999,95.250000,93.309998,94.779999,91.138870,15796100
2021-09-21,95.570000,95.889999,94.029999,94.849998,91.206192,10958400
2021-09-22,96.239998,98.779999,96.239998,97.639999,93.889008,13292800
2021-09-23,98.239998,100.269997,97.750000,100.059998,96.216042,10094900
2021-09-24,99.650002,100.970001,99.650002,100.599998,96.735291,8225300
2021-09-27,102.589996,103.779999,102.589996,102.970001,99.014244,12697500
2021-09-28,103.910004,104.889999,102.879997,103.360001,99.389259,15560800
2021-09-29,103.209999,104.239998,102.339996,103.330002,99.360413,10268100
2021-09-30,103.419998,103.449997,101.449997,101.449997,97.552635,15319800
2021-10-01,102.220001,104.540001,101.879997,104.330002,100.321999,10854900
2021-10-04,105.000000,105.860001,104.110001,104.720001,100.697021,13305400
2021-10-05,106.040001,107.769997,105.419998,105.860001,101.793213,13017300
2021-10-06,104.180000,105.349998,103.580002,104.930000,100.898941,10630100
2021-10-07,105.610001,106.300003,105.220001,105.680000,101.620140,8830900
2021-10-08,106.809998,108.430000,106.599998,108.050003,103.899094,10586700
2021-10-11,109.559998,109.629997,106.919998,107.129997,103.014420,9794800
2021-10-12,106.989998,107.580002,106.169998,107.150002,103.033669,9085000
2021-10-13,106.769997,108.339996,106.480003,107.790001,103.649071,9220700
2021-10-14,108.879997,109.160004,108.110001,108.809998,104.629890,7648600
2021-10-15,109.769997,110.029999,109.430000,109.610001,105.399155,9968100
2021-10-18,110.220001,110.410004,108.959999,109.559998,105.351074,10677400
2021-10-19,110.160004,111.699997,109.800003,111.699997,107.408867,10362800
2021-10-20,111.089996,113.169998,110.779999,113.160004,108.812782,10811400
2021-10-21,112.709999,112.809998,110.870003,111.739998,107.447327,9372600
2021-10-22,112.220001,112.879997,111.449997,112.800003,108.466606,8673800
2021-10-25,113.529999,114.349998,113.300003,113.849998,109.476273,9579800
2021-10-26,113.980003,114.599998,113.510002,114.099998,109.716660,7463000
2021-10-27,113.220001,113.580002,111.650002,112.070000,107.764648,9096100
2021-10-28,111.580002,113.269997,111.580002,113.120003,108.774323,7538200
2021-10-29,114.830002,115.290001,113.150002,114.489998,110.091682,15294200
2021-11-01,115.029999,115.089996,114.050003,114.529999,110.130150,11213800
2021-11-02,114.180000,114.190002,113.209999,113.830002,109.457039,9189700
2021-11-03,112.269997,113.269997,111.970001,113.010002,108.668549,10416000
2021-11-04,114.220001,114.260002,112.910004,113.510002,109.149330,9673000
2021-11-05,114.269997,115.050003,113.930000,114.739998,110.332085,8102100
2021-11-08,115.089996,115.989998,114.690002,115.150002,110.726334,7695900
2021-11-09,115.269997,116.120003,114.459999,116.000000,111.543671,10945900
2021-11-10,115.760002,116.209999,113.660004,114.150002,109.764748,10305100
2021-11-11,113.599998,114.669998,113.570000,114.160004,109.774361,7317500
2021-11-12,113.800003,114.309998,113.589996,114.230003,109.841682,8682800
2021-11-15,114.949997,116.949997,114.269997,116.820000,112.332176,11050400
2021-11-16,117.110001,118.080002,116.860001,117.279999,112.774498,10566300
2021-11-17,114.870003,116.529999,114.660004,115.419998,112.268700,11108000
2021-11-18,114.849998,115.379997,113.410004,114.449997,111.325180,8368600
2021-11-19,112.510002,113.150002,111.099998,111.910004,108.854538,13532600
2021-11-22,112.019997,115.190002,111.849998,113.910004,110.799927,9947100
2021-11-23,115.190002,116.839996,115.059998,116.300003,113.124687,10366800
2021-11-24,116.809998,118.000000,116.680000,117.190002,113.990372,8500900
2021-11-26,113.349998,114.830002,112.629997,114.510002,111.383545,11861800
2021-11-29,116.339996,117.169998,114.709999,114.849998,111.714256,12003800
2021-11-30,113.449997,115.860001,112.440002,112.870003,109.788330,24451200
2021-12-01,114.949997,116.059998,112.089996,112.099998,109.039352,12302700
2021-12-02,113.250000,115.699997,111.930000,115.139999,111.996346,11392400
2021-12-03,116.739998,117.000000,113.589996,114.410004,111.286278,10445100
2021-12-06,115.959999,117.449997,115.050003,116.199997,113.027412,9833900
2021-12-07,117.239998,118.660004,117.239998,117.919998,114.700447,11419600
2021-12-08,118.389999,119.260002,117.660004,118.449997,115.215973,8827900
2021-12-09,117.849998,118.599998,117.580002,118.139999,114.914436,8334700
2021-12-10,118.930000,119.199997,116.870003,118.339996,115.108971,9090700
2021-12-13,117.459999,117.849998,115.610001,115.879997,112.716133,8533000
2021-12-14,115.739998,116.919998,115.470001,116.220001,113.046867,12245300
2021-12-15,116.320000,116.320000,113.949997,115.559998,112.404877,11069500
2021-12-16,116.190002,118.190002,115.919998,116.639999,113.455391,11344700
2021-12-17,115.919998,116.459999,113.529999,113.599998,110.498390,22727900
2021-12-20,111.860001,113.709999,110.730003,113.650002,110.547028,13464400
2021-12-21,114.430000,116.070000,114.290001,115.470001,112.317337,11368200
2021-12-22,115.419998,116.680000,114.410004,116.129997,112.959312,8345200
2021-12-23,116.510002,117.919998,116.400002,116.410004,113.231674,7416600
2021-12-27,116.070000,118.820000,115.410004,118.790001,115.546692,7745500
2021-12-28,118.660004,119.339996,118.040001,118.559998,115.322968,6516000
2021-12-29,118.080002,118.650002,117.290001,117.949997,114.729622,6957400
2021-12-30,118.129997,118.690002,117.339996,117.430000,114.223824,6016000
